item_id,cluster
2,2
36,0
39,16
40,10
41,16
42,15
43,19
44,16
45,14
46,8
47,0
48,7
50,19
52,14
53,0
54,8
56,19
58,8
60,18
62,8
64,19
66,8
68,14
70,2
72,18
91,14
93,11
95,14
97,15
99,7
101,19
103,8
105,19
107,0
109,8
111,9
113,17
115,19
117,0
119,14
121,19
123,18
125,19
127,2
129,15
131,19
133,8
135,7
137,0
139,10
141,14
143,8
145,12
147,8
149,11
151,11
153,0
155,0
157,1
159,0
161,14
163,2
165,8
167,14
169,12
171,14
173,14
175,5
177,14
179,0
181,11
183,18
185,9
189,19
191,7
193,0
195,0
197,0
199,17
201,18
203,8
205,17
207,9
209,3
211,3
213,2
215,14
217,12
219,12
221,2
223,1
225,18
227,9
229,8
231,3
233,9
235,11
237,1
239,2
241,7
243,8
245,12
247,8
249,12
251,14
253,16
255,2
257,9
259,18
261,12
263,1
265,14
267,12
269,1
288,15
299,5
301,7
303,19
305,15
307,0
309,6
311,10
313,2
314,1
315,19
317,7
319,3
321,11
325,14
327,11
329,8
331,18
333,9
335,15
339,2
341,8
345,15
347,11
349,0
351,7
353,14
355,8
359,12
361,18
363,19
365,1
371,12
373,12
377,14
379,8
383,14
385,10
389,1
391,0
395,19
397,12
401,12
403,0
405,17
407,16
411,15
413,18
426,2
428,14
434,19
436,18
438,8
440,2
442,16
444,3
447,16
449,15
451,9
453,1
464,0
526,15
528,0
530,14
532,12
534,12
536,14
538,0
540,17
542,4
544,14
550,0
554,18
555,2
556,2
557,2
558,16
559,18
560,15
561,1
562,14
563,13
564,11
565,17
566,0
567,9
569,1
571,11
573,2
575,1
577,16
579,16
581,19
590,7
592,12
596,16
598,0
600,0
626,0
628,0
630,0
632,0
634,0
636,4
638,0
640,0
642,0
644,0
646,0
648,0
650,0
652,0
654,0
656,0
658,0
660,14
662,0
664,0
753,1
800,0
801,0
802,8
803,0
804,8
805,0
806,0
807,0
808,15
809,0
810,0
811,12
819,0
820,0
821,9
822,0
823,8
824,13
825,11
826,0
827,0
828,8
829,9
830,7
837,14
839,13
841,12
843,13
845,18
847,2
849,15
851,8
853,0
855,1
857,18
859,18
861,0
863,19
864,5
865,9
866,5
867,0
868,15
869,8
877,19
879,0
880,0
881,0
882,11
884,11
886,18
888,16
890,0
892,18
942,0
946,7
948,9
950,9
952,18
954,9
958,17
960,12
962,0
970,16
973,2
975,14
981,0
983,2
985,18
987,18
989,18
991,16
993,1
1005,19
1007,2
1009,15
1011,15
1013,0
1015,0
1017,8
1019,14
1021,5
1023,0
1025,14
1027,0
1029,0
1031,0
1033,9
1035,0
1038,0
1040,16
1042,0
1044,15
1046,0
1048,0
1050,0
1053,0
1055,0
1057,0
1059,16
1061,16
1063,17
1065,17
1067,2
1075,12
1077,12
1081,14
1087,19
1089,0
1095,5
1097,14
1099,8
1101,8
1103,2
1107,14
1115,14
1117,19
1125,14
1129,0
1131,19
1133,8
1135,8
1137,6
1139,0
1149,16
1151,7
1153,14
1155,8
1165,19
1167,0
1169,5
1171,15
1173,0
1175,15
1179,17
1187,14
1189,8
1191,1
1195,8
1203,15
1205,2
1215,7
1217,7
1237,12
1239,15
1241,14
1243,0
1245,0
1247,15
1249,12
1265,15
1267,10
1277,0
1279,0
1283,4
1291,15
1293,11
1297,3
1305,18
1307,14
1309,11
1313,8
1321,12
1323,9
1327,7
1335,0
1337,14
1341,16
1349,11
1351,2
1353,9
1355,16
